ID,group,rrn,rrnstd,percentage,perstd,type
1,AAT,3.76692294,0.421513325,0.423557721,0.087815276,human
2,ART,3.776488076,0.170056627,0.231980876,0.05173771,human
3,CAT,4.491162103,0.397230935,0.108968336,0.047069206,human
4,CRAT,4.013180552,0.521007934,0.090876241,0.181752482,human
5,CRT,3.956493725,0.217761858,0.065450111,0.030608525,human
6,MT,3.990671096,0.185966734,0.002143751,0.000759884,human
7,AAT,10.65,0,1,0,maize
8,ART,3.302305212,0.610081473,0.167208556,0.046791469,maize
9,CAT,6.901829863,1.250852105,0.839788697,0.026621967,maize
10,CRAT,9.987581413,0.559136558,1,0,maize
11,CRT,3.960078813,0.427582429,0.389132156,0.040291719,maize
12,MT,3.705165546,0.304513508,0.459397516,0.023171484,maize
13,AAT,3.525230947,0.071483049,0,0,mice
14,ART,3.833669384,0.014588548,0.044613028,0.019571573,mice
15,CAT,4.201498941,0.311693359,0.043651975,0.02200763,mice
16,CRAT,3,0,0,0,mice
17,CRT,3.888696698,0.067034372,0.034038052,0.011144218,mice
18,MT,3.879037683,0.069478091,0.044814808,0.008736413,mice
19,AAT,10.65,0,1,0,soybean
20,ART,3.161688483,0.657993375,0.155554912,0.055395906,soybean
21,CAT,6.06647458,1.318585432,0.794485998,0.104494903,soybean
22,CRAT,10.11367921,0.220278835,1,0,soybean
23,CRT,4.264576115,0.254254766,0.413936408,0.084086397,soybean
24,MT,4.044046646,0.41319966,0.43418533,0.031852035,soybean
