Group,Actinobacteria,Bacteroidetes,Cyanobacteria,Firmicutes,Proteobacteria,Unassigned
Mock,0.246614974,0.001956053,3.51E-05,0.286345109,0.42062172,0.044427005
T4,0.053675666,0.007368603,0.000161188,0.025018709,0.900166945,0.013608888
T-20,0.508605326,0.001821233,0.000156106,0.080888762,0.372286038,0.036242536
T-20G,0.023127506,0.001315156,6.42E-05,0.009141941,0.945116279,0.021234964
T-80,0.873285596,0,2.24E-05,0.034299311,0.051628544,0.040764102
T-80G,0.0183743,0,0.000109516,0.03216111,0.932343636,0.017011438
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
